Emp ID,Last Name,First Name,Address,City,State,Zip,Telephone,Date Hired,Dept,Location,Work Phone,M/S,Budget,Grade,Vested,Health Plan,Supervisor Name,Supr Phone,Adj
10001,Sullivan,Frank,18211 E. Valley Hwy.,Kent,WA,98032,(253) 872-1000,1/31/1980,PROD,Renton,(425) 393-1000,PB-18,R-1779,16,TRUE,Blue Cross,Wes Adams,(206) 221-1958,12948
10025,Selby,Betty,15702 116th S. E.,Renton,WA,98058,(425) 226-1002,2/24/1980,PROD,Seattle,(206) 221-1002,QR-35,R-2661,12,TRUE,Blue Cross,Marsha Mosley,(206) 221-1975,12924
10090,O'Brien,Ken,312 Seneca,Renton,WA,98055,(425) 227-1009,4/29/1980,MKTG,Bellevue,(425) 882-1009,RL-27,M-1211,13,TRUE,Health Plus,Barry Slatta,(206) 882-2246,12859
10269,Duff,Ray,132 East Main,Auburn,WA,98002,(253) 833-1026,10/25/1980,PROD,Seattle,(206) 221-1026,QR-07,R-2661,4,TRUE,Group Health,Eleanor Lancaster,(206) 221-1124,12680
10270,Silby,Judy,"1402 20th St. N. W., Ste. #4",Auburn,WA,98001,(253) 833-1027,10/26/1980,MKTG,Bellevue,(425) 882-1027,RL-27,M-1211,15,TRUE,Group Health,Barry Slatta,(206) 882-2246,12679
10393,Harrington,Donna,1150 Raymond Ave. S. W.,Renton,WA,98055,(425) 227-1039,2/26/1981,PROD,Seattle,(206) 221-1039,QR-06,R-5321,5,TRUE,Group Health,Joe Stone,(206) 221-2252,12556
10430,Harding,Joel,204 H St. N. W.,Auburn,WA,98001,(253) 833-1043,4/4/1981,MKTG,Bellevue,(425) 882-1043,RL-27,M-1211,14,TRUE,Blue Cross,Barry Slatta,(206) 882-2246,12519
10474,Rathke,Nicole,61 Shattuck Ave. S.,Renton,WA,98055,(425) 227-1047,5/18/1981,PROD,Seattle,(206) 221-1047,QR-12,R-2661,4,TRUE,Health Plus,Harry Hillis,(206) 221-2179,12475
10517,Lee,Allen,22645 76th Av S,Kent,WA,98032,(253) 872-1051,6/30/1981,SALE,Bellevue,(425) 882-1051,HG-12,S-3006,15,TRUE,Blue Cross,Bob Stewart,(206) 882-1590,12432
10544,Allert,Maria,865 Lind S. W.,Renton,WA,98055,(425) 227-1054,7/27/1981,PROD,Seattle,(206) 221-1054,QR-27,R-2661,2,TRUE,Blue Cross,Lynn Jarret,(206) 221-1366,12405
10639,Samuelson,Ed,19044 108th Ave. S. E.,Renton,WA,98055,(425) 227-1063,10/30/1981,PROD,Renton,(425) 393-1063,PB-14,R-1779,6,TRUE,Blue Cross,Molly Goldberg,(206) 393-1513,12310
10702,Graves,Bert,904 North 36th,Renton,WA,98056,(425) 226-1070,1/1/1982,ACCT,Seattle,(206) 221-1070,BX-45,A-1834,14,TRUE,Group Health,Val Johnson,(206) 221-1958,12247
10853,Young,Jim,1408 15th St. N. W.,Auburn,WA,98001,(253) 833-1085,6/1/1982,PROD,Renton,(425) 393-1085,PB-14,R-1779,17,TRUE,Blue Cross,Molly Goldberg,(206) 393-1513,12096
10876,Wilson,Fred,955 Lind Ave S. W.,Renton,WA,98055,(425) 227-1087,6/24/1982,PROD,Seattle,(206) 221-1087,QR-12,R-2661,13,TRUE,Blue Cross,Harry Hillis,(206) 221-2179,12073
10881,Mason,Christine,560 Naches,Renton,WA,98055,(425) 227-1088,6/29/1982,ENGR,Renton,(425) 393-1088,XJ-67,E-1089,14,TRUE,Blue Cross,Dave Rogers,(206) 393-1973,12068
10884,Franklin,Dorothy,Gsa Wrihs 3 73 C St. S. W.,Auburn,WA,98001,(253) 833-1088,7/2/1982,PROD,Seattle,(206) 221-1088,QR-27,R-2661,10,TRUE,Blue Cross,Lynn Jarret,(206) 221-1366,12065
10911,Jones,Steven,18211 E. Valley Rd.,Kent,WA,98032,(253) 872-1091,7/29/1982,PROD,Seattle,(206) 221-1091,QR-35,R-2661,7,TRUE,Group Health,Marsha Mosley,(206) 221-1975,12038
11127,Whitfield,Barbara,"14900 Interurban Ave. S., #290",Tukwila,WA,98168,(206) 575-1112,3/2/1983,SALE,Bellevue,(425) 882-1112,HG-12,S-3006,15,TRUE,Group Health,Bob Stewart,(206) 882-1590,11822
11129,Rucker,Pamela,2715 Auburn Way North,Auburn,WA,98002,(253) 833-1112,3/4/1983,PROD,Seattle,(206) 221-1112,QR-27,R-2661,15,TRUE,Group Health,Lynn Jarret,(206) 221-1366,11820
11133,Rubenstein,Arthur,2200 One Union Square,Seattle,WA,98101,(206) 452-1113,3/8/1983,PROD,Renton,(425) 393-1113,PB-18,R-1779,7,TRUE,Group Health,Frank Sullivan,(206) 393-1000,11816
11153,Quinlan,Leslie,1531 20th St. N. W.,Auburn,WA,98001,(253) 833-1115,3/28/1983,PROD,Renton,(425) 393-1115,PB-21,R-1779,10,TRUE,Group Health,Frank Borman,(206) 393-1265,11796
11157,Hill,Erica,3419 C St. N. E.,Auburn,WA,98002,(253) 833-1115,4/1/1983,SALE,Bellevue,(425) 882-1115,HG-12,S-3006,15,TRUE,Blue Cross,Bob Stewart,(206) 882-1590,11792
11181,Carson,Brian,1120 S. W. 16th,Renton,WA,98055,(425) 227-1118,4/25/1983,PROD,Seattle,(206) 221-1118,QR-31,R-5321,15,TRUE,Blue Cross,Bob Irwin,(206) 221-1549,11768
11222,Asher,Jane,130 N. E. 3rd,Auburn,WA,98002,(253) 833-1122,6/5/1983,ACCT,Seattle,(206) 221-1122,BX-45,A-1834,18,TRUE,Blue Cross,Val Johnson,(206) 221-1958,11727
11239,Lloyd,Jean,101 2nd St. N. E.,Auburn,WA,98002,(253) 833-1123,6/22/1983,PROD,Renton,(425) 393-1123,PB-18,R-1779,1,TRUE,Blue Cross,Frank Sullivan,(206) 393-1000,11710
11249,Lancaster,Eleanor,308 W. Main,Auburn,WA,98001,(253) 833-1124,7/2/1983,PROD,Seattle,(206) 221-1124,QR-07,R-2661,20,TRUE,Blue Cross,Wes Adams,(206) 221-1958,11700
11407,Simpson,Sheila,2623 West Valley Hwy.,Auburn,WA,98001,(253) 833-1140,12/7/1983,SALE,Bellevue,(425) 882-1140,HG-12,S-3006,16,TRUE,Health Plus,Bob Stewart,(206) 882-1590,11542
11463,McGuire,Ned,2807 Auburn Way North,Auburn,WA,98002,(253) 833-1146,2/1/1984,PROD,Renton,(425) 393-1146,PB-18,R-1779,11,TRUE,Blue Cross,Frank Sullivan,(206) 393-1000,11486
11464,Cooper,June,615 2nd N. W.,Auburn,WA,98001,(253) 833-1146,2/1/1984,PROD,Seattle,(206) 221-1146,QR-35,R-2661,15,TRUE,Blue Cross,Marsha Mosley,(206) 221-1975,11486
11524,Kellerman,Kurt,101 Lund Rd. S. W.,Auburn,WA,98001,(253) 833-1152,4/2/1984,PROD,Seattle,(206) 221-1152,QR-19,R-5321,13,TRUE,Blue Cross,Bill Harrison,(206) 221-2205,11425
11582,Robertson,Georgia,17601 S.E. 272 St.,Kent,WA,98042,(253) 872-1158,5/30/1984,ACCT,Seattle,(206) 221-1158,BX-45,A-1834,14,TRUE,Blue Cross,Val Johnson,(206) 221-1958,11367
11583,Webster,Charles,800 S. W. 16th St.,Renton,WA,98055,(425) 227-1158,5/31/1984,ENGR,Renton,(425) 393-1158,XJ-67,E-1089,15,TRUE,Blue Cross,Dave Morgan,(206) 393-2002,11366
11584,Collins,Jerry,401 Rainier Ave. N.,Renton,WA,98055,(425) 227-1158,5/31/1984,PROD,Seattle,(206) 221-1158,QR-12,R-2661,11,TRUE,Blue Cross,Harry Hillis,(206) 221-2179,11366
11585,Illi,Kathleen,846 Lind S. W.,Renton,WA,98055,(425) 227-1158,5/31/1984,PROD,Renton,(425) 393-1158,PB-21,R-1779,4,TRUE,Blue Cross,Frank Borman,(206) 393-1265,11366
11616,Wyman,Jeffrey,560 Hardy Ave. S. W.,Renton,WA,98055,(425) 227-1161,7/3/1984,PROD,Seattle,(206) 221-1161,QR-06,R-5321,9,TRUE,Blue Cross,Joe Stone,(206) 221-2252,11333
11624,Rosen,Barry,"25628 101 S.E., #A",Kent,WA,98031,(253) 872-1162,7/11/1984,PROD,Seattle,(206) 221-1162,QR-19,R-5321,4,TRUE,Blue Cross,Bill Harrison,(206) 221-2205,11325
11638,Palmer,Barbara,4101 Lake Washington Blvd. N.,Renton,WA,98055,(425) 227-1163,7/25/1984,PROD,Seattle,(206) 221-1163,QR-06,R-5321,3,TRUE,Blue Cross,Joe Stone,(206) 221-2252,11311
11715,Ell,Marilyn,1025 6th Ave. N.,Kent,WA,98032,(253) 872-1171,10/10/1984,PROD,Seattle,(206) 221-1171,QR-07,R-2661,19,TRUE,Group Health,Eleanor Lancaster,(206) 221-1124,11234
11730,Brewster,Edwin,833 Houser Way N.,Renton,WA,98055,(425) 227-1173,10/25/1984,MKTG,Bellevue,(425) 882-1173,RL-27,M-1211,20,TRUE,Group Health,Bob Shavers,(206) 882-1281,11219
11913,Holliday,Joan,23805 104th S.E.,Kent,WA,98031,(253) 872-1191,4/26/1985,PROD,Seattle,(206) 221-1191,QR-27,R-2661,14,TRUE,Blue Cross,Lynn Jarret,(206) 221-1366,11036
11972,Wentworth,Cathy,300 Airport Way,Renton,WA,98055,(425) 227-1197,6/24/1985,ACCT,Renton,(425) 393-1197,BB-27,A-1834,10,TRUE,Blue Cross,Barbara Carrera,(206) 393-2000,10977
12002,Smith,Steve,20717 Pacific Hwy. S.,Seattle,WA,98188,(206) 452-1200,7/24/1985,ACCT,Renton,(425) 393-1200,BB-27,A-1834,13,TRUE,Blue Cross,Barbara Carrera,(206) 393-2000,10947
12003,Larsen,Joanne,1402 20th St. N. W. #7,Auburn,WA,98001,(253) 833-1200,7/25/1985,PROD,Renton,(425) 393-1200,PB-18,R-1779,10,TRUE,Blue Cross,Frank Sullivan,(206) 393-1000,10946
12133,Madison,Don,3611 St. N. E. #177,Auburn,WA,98002,(253) 833-1213,12/2/1985,PROD,Renton,(425) 393-1213,PB-21,R-1779,7,TRUE,Health Plus,Frank Borman,(206) 393-1265,10816
12147,Klein,Sheila,20202 84th Ave. S.,Kent,WA,98032,(253) 872-1214,12/16/1985,SALE,Bellevue,(425) 882-1214,HG-12,S-3006,16,TRUE,Health Plus,Bob Stewart,(206) 882-1590,10802
