Staff ID,Last Name, First Name,Address,City,State,State Name,Zip Code,Home Phone,Date Hired,Dept ID,Location,Work Phone,Mail Stop,Budget,Pay Grade,Monthly Salary,Retirement Vested,Health Plan,Supr ID, Last Name,First Name,
10001,Sullivan,Frank,18211 E. Valley Hwy.,Kent,WA,Washington,98032,(253) 872-1000,9/11/1977,PROD,Renton,(425) 393-1000,PB-18,R-1779,20,"$7,249.73",TRUE,Regence,19589,Adams,Wes,
10025,Selby,Betty,15702 116th S. E.,Renton,WA,Washington,98058,(425) 226-1002,10/5/1977,PROD,Seattle,(206) 221-1002,QR-35,R-2661,12,"$4,303.81",TRUE,Regence,19758,Mosley,Marsha,
10090,O'Brien,Ken,312 Seneca,Renton,WA,Washington,98055,(425) 227-1009,12/9/1977,MKTG,Bellevue,(425) 882-1009,RL-27,M-1211,13,"$4,631.76",TRUE,Kaiser Permanente,22460,Slatta,Barry,
10269,Duff,Ray,132 East Main,Auburn,WA,Washington,98002,(253) 833-1026,6/6/1978,PROD,Seattle,(206) 221-1026,QR-07,R-2661,4,"$2,094.37",TRUE,Group Health,11249,Lancaster,Eleanor,
10270,Silby,Judy,"1402 20th St. N. W., Ste. #4",Auburn,WA,Washington,98001,(253) 833-1027,6/7/1978,MKTG,Bellevue,(425) 882-1027,RL-27,M-1211,15,"$5,322.23",TRUE,Group Health,22460,Slatta,Barry,
10393,Harrington,Donna,1150 Raymond Ave. S. W.,Renton,WA,Washington,98055,(425) 227-1039,10/8/1978,PROD,Seattle,(206) 221-1039,QR-06,R-5321,5,"$2,330.26",TRUE,Group Health,20080,Stone,Doris,
10430,Harding,Joel,204 H St. N. W.,Auburn,WA,Washington,98001,(253) 833-1043,11/14/1978,MKTG,Bellevue,(425) 882-1043,RL-27,M-1211,14,"$4,971.24",TRUE,Regence,22460,Slatta,Barry,
10474,Rathke,Nicole,61 Shattuck Ave. S.,Renton,WA,Washington,98055,(425) 227-1047,12/28/1978,PROD,Seattle,(206) 221-1047,QR-12,R-2661,4,"$2,094.37",TRUE,Kaiser Permanente,11157,Hill,Erica,
10517,Lee,Allen,22645 76th Av S,Kent,WA,Washington,98032,(253) 872-1051,2/9/1979,SALE,Bellevue,(425) 882-1051,HG-12,S-3006,15,"$5,322.23",TRUE,Regence,15907,Stewart,Robert,
10544,Allert,Maria,865 Lind S. W.,Renton,WA,Washington,98055,(425) 227-1054,3/8/1979,PROD,Seattle,(206) 221-1054,QR-27,R-2661,2,"$1,657.08",TRUE,Regence,13668,Jarrett,Lynn,
10639,Samuelson,Ed,19044 108th Ave. S. E.,Renton,WA,Washington,98055,(425) 227-1063,6/11/1979,PROD,Renton,(425) 393-1063,PB-14,R-1779,6,"$2,577.68",TRUE,Regence,15131,Goldberg,Molly,
10702,Graves,Bert,904 North 36th,Renton,WA,Washington,98056,(425) 226-1070,8/13/1979,ACCT,Seattle,(206) 221-1070,BX-45,A-1834,14,"$4,971.24",TRUE,Group Health,22037,Johnson,Peter,
10853,Young,Jim,1408 15th St. N. W.,Auburn,WA,Washington,98001,(253) 833-1085,1/11/1980,PROD,Renton,(425) 393-1085,PB-14,R-1779,17,"$6,058.71",TRUE,Regence,15131,Goldberg,Molly,
10876,Wilson,Fred,955 Lind Ave S. W.,Renton,WA,Washington,98055,(425) 227-1087,2/3/1980,PROD,Seattle,(206) 221-1087,QR-12,R-2661,13,"$4,631.76",TRUE,Regence,11157,Hill,Erica,
10881,Mason,Christine,560 Naches,Renton,WA,Washington,98055,(425) 227-1088,2/8/1980,ENGR,Renton,(425) 393-1088,XJ-67,E-1089,14,"$4,971.24",TRUE,Regence,19739,Rogers,Dave,
10884,Franklin,Dorothy,Gsa Wrihs 3 73 C St. S. W.,Auburn,WA,Washington,98001,(253) 833-1088,2/11/1980,PROD,Seattle,(206) 221-1088,QR-27,R-2661,10,"$3,682.40",TRUE,Regence,13668,Jarrett,Lynn,
10911,Jones,Steven,18211 E. Valley Rd.,Kent,WA,Washington,98032,(253) 872-1091,3/9/1980,PROD,Seattle,(206) 221-1091,QR-35,R-2661,7,"$2,836.59",TRUE,Group Health,19758,Mosley,Marsha,
11127,Whitfield,Barbara,"14900 Interurban Ave. S., #290",Tukwila,WA,Washington,98168,(206) 575-1112,10/11/1980,SALE,Bellevue,(425) 882-1112,HG-12,S-3006,15,"$5,322.23",TRUE,Group Health,15907,Stewart,Robert,
11129,Rucker,Pamela,2715 Auburn Way North,Auburn,WA,Washington,98002,(253) 833-1112,10/13/1980,PROD,Seattle,(206) 221-1112,QR-27,R-2661,15,"$5,322.23",TRUE,Group Health,13668,Jarrett,Lynn,
11133,Rubenstein,Arthur,2200 One Union Square,Seattle,WA,Washington,98101,(206) 452-1113,10/17/1980,PROD,Renton,(425) 393-1113,PB-18,R-1779,7,"$2,836.59",TRUE,Group Health,10001,Sullivan,Frank,
11153,Quinlan,Leslie,1531 20th St. N. W.,Auburn,WA,Washington,98001,(253) 833-1115,11/6/1980,PROD,Renton,(425) 393-1115,PB-21,R-1779,10,"$3,682.40",TRUE,Group Health,12655,Borman,Frank,
11157,Hill,Erica,3419 C St. N. E.,Auburn,WA,Washington,98002,(253) 833-1115,11/10/1980,SALE,Bellevue,(425) 882-1115,HG-12,S-3006,19,"$6,841.20",TRUE,Regence,15907,Stewart,Robert,
11181,Carson,Brian,1120 S. W. 16th,Renton,WA,Washington,98055,(425) 227-1118,12/4/1980,PROD,Seattle,(206) 221-1118,QR-31,R-5321,15,"$5,322.23",TRUE,Regence,15499,Irwin,Bob,
11222,Asher,Jane,130 N. E. 3rd,Auburn,WA,Washington,98002,(253) 833-1122,1/14/1981,ACCT,Seattle,(206) 221-1122,BX-45,A-1834,18,"$6,444.20",TRUE,Regence,22037,Johnson,Peter,
11239,Lloyd,Jean,101 2nd St. N. E.,Auburn,WA,Washington,98002,(253) 833-1123,1/31/1981,PROD,Renton,(425) 393-1123,PB-18,R-1779,1,"$1,455.70",TRUE,Regence,10001,Sullivan,Frank,
11249,Lancaster,Eleanor,308 W. Main,Auburn,WA,Washington,98001,(253) 833-1124,2/10/1981,PROD,Seattle,(206) 221-1124,QR-07,R-2661,20,"$7,249.73",TRUE,Regence,19589,Adams,Wes,
